MovieID,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
3001,The Suburbans,1999,R,05 Nov 1999,81 min,"Comedy, Drama",Donal Lardner Ward,"Donal Lardner Ward, Tony Guma","Donal Lardner Ward, Tony Guma, Craig Bierko","A 1980s one-hit wonder band named ""The Suburbans"" reform for a special performance at one of the ex-member's wedding. At the wedding, a young record company talent scout happens to be in the audience and decides to give the now forty-ish performers a comeback push. The film attempts to take a satirical look at the music business of the 1990s, and compare it to the simpler 1980s scene.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzZlMzU0NzUtY2M0ZC00NzhiLThiNWUtNGRkODJmZGRjMjIzXkEyXkFqcGc@._V1_SX300.jpg,24,4.3,"2,560",tt0157075,movie,N/A,"$11,130",N/A,N/A
3004,The Bachelor,1999,PG-13,05 Nov 1999,101 min,"Comedy, Romance",Gary Sinyor,"Roi Cooper Megrue, Jean C. Havez, Clyde Bruckman","Chris O'Donnell, Renée Zellweger, Artie Lange","James Shannon III (Chris O'Donnell) is seeing his single friends get married one by one. He isn't too worried until his girlfriend Anne Arden (Renée Zellweger) catches the bouquet at his friend Marco's (Artie Lange's) wedding. Suddenly, his wild mustang days are numbered. He finally decides to propose to her, but he sticks his foot in his mouth and botches the proposal. Being insulted by the defeatist proposal, Anne leaves town on an assignment. After she's gone, he finds out that his recently-deceased granddad James Shannon's (Sir Peter Ustinov's) will stipulates that he gets nothing of a multi-million-dollar fortune unless he's married by 6:05 p.m. on his 30th birthday: tomorrow. Not being able to find Anne, Jimmie begins backtracking through his past girlfriends to find a wife.","English, Spanish",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNTJmZTRkY2YtMGFhZi00Y2NkLThmOWUtZjljZDYwMTRiMTVhXkEyXkFqcGc@._V1_SX300.jpg,31,5.1,"19,134",tt0120596,movie,N/A,"$21,760,240",N/A,N/A
3005,The Bone Collector,1999,R,05 Nov 1999,118 min,"Crime, Drama, Mystery",Phillip Noyce,"Jeffery Deaver, Jeremy Iacone","Denzel Washington, Angelina Jolie, Queen Latifah","Quadriplegic ex-cop Lincoln Rhyme was looking forward to his assisted suicide when he got the news: some sicko was abducting people in a taxi and leaving them to die in particularly sadistic ways. With time counting down between each abduction and possible death, Rhyme recruits rather-unwilling Amelia Donaghy, haunted by her cop father's suicide and thinking she's next, into working the crime scenes to track down the killer.",English,"United States, Canada",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BOWY0NjY0M2ItYmNjYy00YWZiLWE3ZjktM2Q3YmU2NWY0YmVmXkEyXkFqcGc@._V1_SX300.jpg,45,6.7,"188,894",tt0145681,movie,N/A,"$66,518,655",N/A,N/A
3006,Insider,1999,N/A,15 Jan 1999,290 min,"Crime, Thriller",N/A,N/A,"Gunilla Johansson, Frej Lindqvist, Tommy Englund","A group of Swedish scientists led by Anna Rosenberg have developed an environmentally friendly car engine. Just before they sign the deal with the big European motor company the test results leak into the wrong hands after a violent intrusion. There seems to be a mole in the team - but who and to whom is he/she really working for? While the research team faces the threat of bankruptcy, Anna Rosenberg has also her private life to sort out.","Swedish, English, German, Russian","Sweden, Denmark, Finland, Iceland",N/A,https://m.media-amazon.com/images/M/MV5BMWZmYzJjMjUtMmFkYi00ZGZmLWFjZmQtNzRkMzE5OGQyNzlmXkEyXkFqcGdeQXVyMTQzMjU1NjE@._V1_SX300.jpg,N/A,6.1,71,tt0181926,series,,,,
3007,American Movie,1999,R,13 Apr 2000,107 min,"Documentary, Comedy",Chris Smith,N/A,"Mark Borchardt, Mike Schank, Tom Schimmels","On the northwest side of Milwaukee, Mark Borchardt dreams the American dream: for him, it's making movies. Using relatives, local theater talent, slacker friends, his Mastercard, and $3,000 from his Uncle Bill, Mark strives over three years to finish ""Coven,"" a short horror film. His own personal demons (alcohol, gambling, a dysfunctional family) plague him, but he desperately wants to overcome self-doubt and avoid failure. In moments of reflection, Mark sees his story as quintessentially American, and its the nature and nuance of his dream that this film explores.",English,United States,6 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNzBjNjQwMWQtYWE0OC00MmM3LTljNDktMmI4ZTlhMWFjZTYwXkEyXkFqcGc@._V1_SX300.jpg,84,7.8,"19,889",tt0181288,movie,N/A,"$1,165,795",N/A,N/A
3008,Last Night,1998,R,23 Oct 1998,95 min,"Comedy, Drama, Romance",Don McKellar,Don McKellar,"Don McKellar, Sandra Oh, Roberta Maxwell","It's 18:00 in a somewhat deserted Toronto on the last day before the scheduled end of the world at midnight, the end which has been known now for months. Most people are treating midnight as a matter-of-fact event with little sense of panic. In fact, many are celebrating this last day. Most have very specific wants for this last day and will do whatever they need to to make those wants happen. And some, such as Duncan and Donna with the gas company, are working, ensuring that the masses are served and comfortable during the final hours. The Wheeler family are marking the last day by having a Christmas party, although sullen adult son Patrick, his thoughts in part stemming from being recently widowed, has made it clear he wants to be alone in his own home at the end. Patrick's wants may be in jeopardy when a woman named Sandra - Duncan's wife - lands on his doorstep. Sandra is stranded, trying to make it across town to her own home so that she and Duncan can carry out their own last night pact at the stroke of midnight. As Patrick tries to help Sandra on his own, mostly unsuccessfully, they try to enlist the assistance of various people, including Patrick's best friend Craig, who has his own sexually oriented last day list of tasks. As Sandra goes on her quest, Duncan himself faces his own issues while waiting for his wife. But as midnight approaches, some can't fulfill their planned destiny so have to make some quick improvisations, while the priority of others changes.","English, French","Canada, France",12 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BZTEwODI1MjktODU2ZS00MGZiLTlmZjYtNWQ1ODdjYzM0ZTg2XkEyXkFqcGc@._V1_SX300.jpg,65,7.1,"10,221",tt0156729,movie,N/A,"$591,165",N/A,N/A
3010,Rosetta,1999,R,22 Sep 1999,95 min,Drama,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne","Émilie Dequenne, Fabrizio Rongione, Anne Yernaux","The first scene, like almost all others, is a fighting scene. A girl, about 18, is sacked from her factory work because her trial period is over. The girl, Rosetta, is quite upset and the cops will have to arrive to get her out. She has her reasons: she lives in a caravan, with her alcoholic mother. She goes looking for work as some go to the war. Treasons, murders are in her mind, if not in her acts.",French,"France, Belgium",10 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BNmY5YWJhODAtOGRkZS00OWE4LTliYjItNWU4ZGM3ZGNiMDlkXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_SX300.jpg,76,7.4,"15,776",tt0200071,movie,N/A,"$266,665",N/A,N/A
3011,"They Shoot Horses, Don't They?",1969,M,20 Aug 1970,129 min,Drama,Sydney Pollack,"Horace McCoy, James Poe, Robert E. Thompson","Jane Fonda, Michael Sarrazin, Susannah York","Gloria is a young woman of the Depression. She has aged beyond her years and feels her life is hopeless, having been cheated and betrayed many times in her past. While recovering from a suicide attempt, she gets the idea from a movie magazine to head for Hollywood to make it as an actress. Robert is a desperate Hollywood citizen trying to become a director, never doubting he'll make it. Robert and Gloria meet and decide to enter a dance marathon, one of the crazes of the 1930's. The grueling dancing takes its toll on Gloria's already weakened spirit, and she tells Robert that she'd be better off dead, that her life is hopeless - all the while acting cruelly and bitterly, alienating those around her, trying to convince him to shoot her and put her out of her misery. After all, they shoot horses, don't they?",English,United States,Won 1 Oscar. 11 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BZjgxZjkxOTMtYjIzMi00MDljLWE0ZDctNTgyZjQzMjFhODUyXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,72,7.8,"20,970",tt0065088,movie,N/A,"$12,600,000",N/A,N/A
3012,Battling Butler,1926,Passed,19 Sep 1926,77 min,"Comedy, Sport",Buster Keaton,"Paul Gerard Smith, Al Boasberg, Charles Henry Smith","Buster Keaton, Snitz Edwards, Sally O'Neil","Alfred's father wants him to make of a man of himself so sends him off on a hunting and fishing trip. He doesn't catch or shoot anything, but he does fall in love with a mountain girl. When her father and brothers laugh at this they are informed that he is Alfred ""Battling"" Butler, the championship fighter. From there on the masquerade must be maintained.","None, English",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNzc1ODMxMDYtNWFhMS00MmIyLTlkYWMtYWQ5NDE0ODAzYTk1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,N/A,7.0,"3,897",tt0016630,movie,N/A,"$702,114",N/A,N/A
3013,Bride of Re-Animator,1990,R,08 Jul 1990,96 min,"Comedy, Horror, Sci-Fi",Brian Yuzna,"Zeph E. Daniel, Rick Fry, H.P. Lovecraft","Jeffrey Combs, Bruce Abbott, Claude Earl Jones","In Peru, Dr. Herbert West and Dr. Dan Cain are medical volunteers in a civil war with the assistant Francesca Danelli and they are researching how to create human life from dead tissue using wounded soldiers as guinea pigs. They return to Miskatonic Hospital and Dan treats a terminal patient, Gloria, and gets close to her. When the snoopy Lt. Leslie Chapham investigates the Miskatonic Massacre, he learns that body parts are missing in the morgue, and Herbert and Dan become his prime suspects. But Herbert kills the lieutenant and revives him with the serum. Meanwhile, Dr. Graves finds the head of Dr. Carl Hill and the green substance that the deceased doctor stole from Herbert, and uses the serum to resurrect Dr. Hill's head. When Gloria dies, Herbert and Dan use her head, with Meg's heart and parts of other women to create the perfect woman. But Lt. Chapham teams up with Dr. Hill to seek revenge against the crazy scientists.",English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BZTJjNzVmODktNTk5NC00ZDU5LTkzZDAtNmZjODEzODE3MDRiXkEyXkFqcGc@._V1_SX300.jpg,54,6.2,"17,970",tt0099180,movie,N/A,N/A,N/A,N/A
