MovieID,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
2000,Lethal Weapon,1987,R,06 Mar 1987,109 min,"Action, Crime, Thriller",Richard Donner,"Shane Black, Jeffrey Boam","Mel Gibson, Danny Glover, Gary Busey","Martin Riggs is an L.A. cop with suicidal tendencies and Roger Murtaugh is the unlucky police officer with whom Riggs is assigned. Together they uncover a huge drug-smuggling operation, and as their success rate grows so does their friendship.",English,United States,Nominated for 1 Oscar. 5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMWVlNWZlODktMzhhNS00YThhLWEzZWYtYzU0NDFmNzk0MGVlXkEyXkFqcGc@._V1_SX300.jpg,68,7.6,"280,699",tt0093409,movie,N/A,"$65,207,127",N/A,N/A
2001,Lethal Weapon 2,1989,R,07 Jul 1989,114 min,"Action, Crime, Thriller",Richard Donner,"Jeffrey Boam, Shane Black, Warren Murphy","Mel Gibson, Danny Glover, Joe Pesci","Riggs and Murtaugh are trying to take down some drug dealers but the they turn out to be not run of the mill drug dealers; they have automatic weapons and helicopters. Eventually they grab one of their vehicles and find a million dollars worth of gold coins or Krugerrands in the trunk. Later Murtaugh is threatened by the men they're pursuing. That's when the Captain reassigns them to protect a man named Leo Getz who is suppose to testify in a big case. When they get to where Leo is, someone tries to kill him and that's when they learn he laundered half a billion dollars worth of drug money. He then takes them to a place he once went to and that's when the people there start shooting at them. Later when they come back with back up they learn that the men work for the South African consulate and have diplomatic immunity. They deduce that they are the ones they were looking for, but because of they have diplomatic immunity they can't do anything.","English, Afrikaans, Danish",United States,Nominated for 1 Oscar. 1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZWE1OWYwZTAtMGUwMC00MGE3LWE1ODAtMTI0NGQ1NzU5YmYzXkEyXkFqcGc@._V1_SX300.jpg,70,7.3,"192,056",tt0097733,movie,N/A,"$147,253,986",N/A,N/A
2002,Lethal Weapon 3,1992,R,15 May 1992,118 min,"Action, Crime, Thriller",Richard Donner,"Jeffrey Boam, Robert Mark Kamen, Shane Black","Mel Gibson, Danny Glover, Joe Pesci","Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",English,United States,3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNDA3Zjc5NjYtODZiNy00Yjg3LTk0MWEtMDk3NDA4ZjU3YTY0XkEyXkFqcGc@._V1_SX300.jpg,40,6.7,"180,835",tt0104714,movie,N/A,"$144,731,527",N/A,N/A
2003,Gremlins,1984,PG,08 Jun 1984,106 min,"Comedy, Fantasy, Horror",Joe Dante,Chris Columbus,"Zach Galligan, Phoebe Cates, Hoyt Axton","Minature green monsters tear through the small town of Kingston Falls. Hijinks ensue as a mild-mannered bank teller releases these hideous loonies after gaining a new pet and violating two of three simple rules: No water (violated), no food after midnight (violated), and no bright light. Hilarious mayhem and destruction in a town straight out of Norman Rockwell. So, when your washing machine blows up or your TV goes on the fritz, before you call the repair man, turn on all the lights and look under all the beds. 'Cause you never can tell, there just might be a gremlin in your house.","English, Spanish",United States,8 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BYmMzMmIxNzYtYjk3OS00NjBiLTkxNDQtODU3ZDNjN2RiMTIxXkEyXkFqcGc@._V1_SX300.jpg,70,7.3,"252,396",tt0087363,movie,N/A,"$153,642,180",N/A,N/A
2004,Gremlins 2: The New Batch,1990,PG-13,15 Jun 1990,106 min,"Comedy, Fantasy, Horror","Joe Dante, Chuck Jones","Charles S. Haas, Chris Columbus","Zach Galligan, Phoebe Cates, Howie Mandel","Having moved to New York City after the Kingston Falls complete pandemonium in Gremlins (1984), the young couple of Billy and Kate now works for the money-grubbing tech-mogul, Daniel Clamp, in his colossal Clamp Tower high-rise. But, before long, Gizmo, the orphaned Mogwai, falls prey to the evil scientist, Doctor Catheter, and once more, a splash of water spawns hordes of the mischievous Gremlins that immediately start doing what they do best: wreaking havoc. Is there an escape from the onslaught of the new batch?",English,United States,6 nominations,https://m.media-amazon.com/images/M/MV5BZWI2ZTI2ZjAtOWYyZS00ZmY2LWE4ZDYtNTdmNWMwZTFjNzZhXkEyXkFqcGc@._V1_SX300.jpg,69,6.4,"114,382",tt0099700,movie,N/A,"$41,482,207",N/A,N/A
2005,The Goonies,1985,PG,07 Jun 1985,114 min,"Adventure, Comedy, Family",Richard Donner,"Chris Columbus, Steven Spielberg","Sean Astin, Josh Brolin, Jeff Cohen",Mikey and his friends have always wanted to go on an adventure. One night they are all in Mikey's attic and Mikey stumbles across an old map. Mikey has always wanted to know if One-eyed Willy ever was a real person and now he might. They set off and later realize that they have to go through the evil Mama Fratelli's restaurant to get to a secret passage to the caves. As they try to get into the caves Mama Fratelli catches Chunk and he is left behind. He then meets Sloth one of Mama Fratelli's sons with a messed up face. He befriends Sloth. Meanwhile Mama Fratelli and her sons are trying to get to the treasure too. Will the kids make it there before Mama Fratelli does? Will Chuck ever get out of her basement?,"English, Spanish, Cantonese, Italian",United States,4 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMjE1OWU4ODEtZmEzMC00NTcwLWFlMWUtYjhlNzExOTIxYzVlXkEyXkFqcGc@._V1_SX300.jpg,62,7.7,"304,353",tt0089218,movie,N/A,"$63,711,145",N/A,N/A
2006,The Mask of Zorro,1998,PG-13,17 Jul 1998,136 min,"Action, Adventure, Comedy",Martin Campbell,"Johnston McCulley, Ted Elliott, Terry Rossio","Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones","In 1821 Old California, mysterious black-caped masked avenger of the oppressed, Don Diego de la Vega--Zorro--lands in jail after once again humiliating the evil Spanish governor Don Rafael Montero. With his only daughter raised by Don Rafael as his own, the grizzled swordsman makes a daring escape nearly two decades later, and takes under his wing the unrefined outlaw Alejandro Murietta to teach him the ropes and hopefully become the next Zorro. Now, the stage is set for a ferocious final confrontation, as the new young rapier-wielder prepares to thwart the despicable governor's sinister plans. Can Alejandro live up to legendary Zorro's name?",English,"United States, Mexico, Germany",Nominated for 2 Oscars. 9 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMzA2MDgyYzMtNjc4OC00YjU0LWEzMWEtOTRhMTViODY0Mjk0XkEyXkFqcGc@._V1_SX300.jpg,63,6.8,"200,664",tt0120746,movie,N/A,"$94,095,523",N/A,N/A
2007,Polish Wedding,1998,PG-13,17 Jul 1998,105 min,"Comedy, Drama, Romance",Theresa Connelly,Theresa Connelly,"Claire Danes, Gabriel Byrne, Lena Olin","The film centers on a big Polish family. Jadzia is the mother and the ruler of the Pzoniak family (she has five children). Though she's happily married to Bolek, she is also having a long-time affair with Roman. Her young daughter Hala is having an affair with neighbour cop Russell and becomes pregnant by him. Russell is pressed hard to marry Hala.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmFkNmI1ODUtMGU1Mi00NzNkLWE3MzQtYmIwYmNkODdhMTI4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,N/A,5.5,"3,448",tt0119910,movie,N/A,"$692,588",N/A,N/A
2009,Soylent Green,1973,PG,09 May 1973,97 min,"Crime, Mystery, Sci-Fi",Richard Fleischer,"Stanley R. Greenberg, Harry Harrison","Charlton Heston, Edward G. Robinson, Leigh Taylor-Young","In 2022, Earth is overpopulated and totally polluted; the natural resources have been exhausted and the nourishment of the population is provided by Soylent Industries, a company that makes a food consisting of plankton from the oceans. In New York City, when Soylent's member of the board William R. Simonson is murdered apparently by a burglar at the Chelsea Towers West where he lives, efficient Detective Thorn is assigned to investigate the case with his partner Solomon ""Sol"" Roth. Thorn comes to the fancy apartment and meets Simonson's bodyguard Tab Fielding and the ""furniture"" (woman that is rented together with the flat) Shirl and the detective concludes that the executive was not victim of burglary but executed. Further, he finds that the Governor Santini and other powerful men want to disrupt and end Thorn's investigation. But Thorn continues his work and discovers a bizarre and disturbing secret of the ingredient used to manufacture Soylent Green.","English, Spanish, Hebrew",United States,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNTE3YjIzZTAtMTdjNC00M2IxLWE5OGItMzEwYTI3Y2FlNjlkXkEyXkFqcGc@._V1_SX300.jpg,66,7.0,"71,734",tt0070723,movie,N/A,N/A,N/A,N/A
2011,Back to the Future Part II,1989,PG,22 Nov 1989,108 min,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson","Marty McFly has only just gotten back from the past, when he is once again picked up by Dr. Emmett Brown and sent through time to the future. Marty's job in the future is to pose as his own son to prevent him from being thrown in prison. Unfortunately, things get worse when the future changes the present.",English,United States,Nominated for 1 Oscar. 9 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMTNlOTRmOTEtMTAyMi00NjFiLTk3NDMtNWI0YzA3ZTZlYjZiXkEyXkFqcGc@._V1_SX300.jpg,57,7.8,"583,389",tt0096874,movie,N/A,"$119,000,002",N/A,N/A
