MovieID,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
1000,Curdled,1996,R,27 Sep 1996,88 min,"Comedy, Crime, Thriller",Reb Braddock,"Reb Braddock, John Maass","William Baldwin, Angela Jones, Bruce Ramsay","Gabriella, a Colombian immigrant, is obsessed with understanding violent crime. The current string of murders by ""The Blue Blood Killer"" of affluent Miami socialites provides her with fodder for her scrapbook of death. She lands a job with a post-murder cleaning service and during a Blue-Blood clean-up job, discovers evidence that police have overlooked.","English, Spanish",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BZWU1MzQ3ZDktNmI4Yi00MTYyLWFmOGUtZGE5YmNjMTJjM2I1XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.9,"5,615",tt0115994,movie,N/A,"$49,620",N/A,N/A
1001,Zui nan zai,1982,N/A,12 Nov 1982,N/A,Romance,Chi Lu,Chi Lu,"Ti Ai, Dai Ling, Eva Lin","Eva Lin plays Ping, an unscrupulous woman who uses women as bait so that she can blackmail amorous men. She tries with Daisy and fails, but she appears to have found a kindred spirit in Gigi. Unfortunately Gigi has a change of heart after falling for Ho Pi-Nei.",Cantonese,Hong Kong,N/A,https://m.media-amazon.com/images/M/MV5BMTQzM2U2MGMtNDM5Yy00YTRlLThlZWQtMGIwNzc1ODM5ZjhiXkEyXkFqcGdeQXVyNDUzMjY3NzQ@._V1_SX300.jpg,N/A,N/A,N/A,tt1275892,movie,N/A,N/A,N/A,N/A
1002,Ed's Next Move,1996,R,27 Sep 1996,88 min,"Romance, Comedy",John Walsh,John Walsh,"Matt Ross, Catherine Curtin, Timothy Pilato","Ed lives in Wisconsin, but he's just been dumped by his girlfriend. So he moves to New York City for a big change...but will he ever find love again? He loves his new job studying the genetics of different strains of rice. He has a good partnership with his promiscuous roommate Ray. And he's made some great friends, characters at the local diner. But then there's Natalie (Lee for short). She's just what Ed thinks he's looking for, and she's available...or is she?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTY1NTQ3NDcyMl5BMl5BanBnXkFtZTcwMTkzMjMzMQ@@._V1_SX300.jpg,N/A,6.3,472,tt0116167,movie,N/A,"$106,791",N/A,N/A
1003,Extreme Measures,1996,R,27 Sep 1996,118 min,"Crime, Drama, Mystery",Michael Apted,"Michael Palmer, Tony Gilroy","Hugh Grant, Gene Hackman, Sarah Jessica Parker","Thriller about Guy Luthan (Hugh Grant), a British doctor working at a hospital in New York who starts making unwanted enquiries when the body of a man who died in his emergency room disappears. The trail leads Luthan to the door of the eminent surgeon Dr. Lawrence Myrick (Gene Hackman), but Luthan soon finds himself in danger from people who want the hospital's secret to remain undiscovered.",English,"United Kingdom, United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BZWVlMmJhYWUtMzc1ZC00OGY2LTk2YmItMTM4NmMyYzA3YjAyXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,56,6.2,"20,908",tt0116259,movie,N/A,"$17,380,126",N/A,N/A
1004,The Glimmer Man,1996,R,04 Oct 1996,91 min,"Action, Comedy, Crime",John Gray,Kevin Brodbin,"Steven Seagal, Keenen Ivory Wayans, Bob Gunton","Jack Cole is a soft spoken, mystical, new age New York cop with a checkered past. He is transferred to Los Angeles to help Los Angeles cop Jim Campbell solve a series of brutal murders in which the victims are crucified. The murders that have happened since Jack arrived in Los Angeles just don't sit right with him. When the killer, known as the ""Family Man"", kills Ellen DunLeavy, who happens to be Jack's ex wife and the mother of his two kids, and Ellen's husband Andrew DunLeavy, it becomes personal - especially when Jack's prints are found on Ellen's body. Jack meets with his military mentor Smith, not knowing that Smith is in cahoots with local crime boss Frank Deverell.","English, Chinese, Russian",United States,N/A,https://m.media-amazon.com/images/M/MV5BYTZkODA2ZjAtNDc5YS00N2ExLWEwYjEtNjRiYWM5MTA5N2UyXkEyXkFqcGc@._V1_SX300.jpg,33,5.4,"21,518",tt0116421,movie,N/A,"$20,351,264",N/A,N/A
1005,D3: The Mighty Ducks,1996,PG,04 Oct 1996,104 min,"Action, Comedy, Drama",Robert Lieberman,"Steven Brill, Kenneth Johnson, Jim Burnstein","Emilio Estevez, Jeffrey Nordling, David Selby","In the third episode of this series, the Ducks get scholarships to Eden Hall Academy, a high ranking prep school. But as freshmen, they will have to face the snob varsity team...",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BN2E2MjAyMzktNjQxNC00NmRmLWI2MWYtNjQxN2JjMTAyZjMxXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.5,"28,941",tt0116000,movie,N/A,"$22,955,097",N/A,N/A
1006,The Chamber,1996,R,11 Oct 1996,113 min,"Crime, Drama, Thriller",James Foley,"John Grisham, William Goldman, Phil Alden Robinson","Chris O'Donnell, Gene Hackman, Faye Dunaway","Having survived the hatred and bigotry that was his Klansman grandfather's only legacy, young attorney Adam Hall seeks at the last minute to appeal the old man's death sentence for the murder of two small Jewish boys 30 years before. Only four weeks before Sam Cayhall is to be executed, Adam meets his grandfather for the first time in the Mississippi prison which has held him since the crime. The meeting is predictably tense when the educated, young Mr. ""Hall"" confronts his venom-spewing elder, Mr. ""Cayhall,"" about the murders. The next day, headlines run proclaiming Adam the grandson who has come to the state to save his grandfather, the infamous Ku Klux Klan bomber. While the old man's life lies in the balance, Adam's motivation in fighting this battle becomes clear as the story unfolds. Not only does he fight for his grandfather, but perhaps for himself as well. He has come to heal the wounds of his own father's suicide, to mitigate the secret shame he has always felt for the genetic fluke which made this man his grandfather, and to bring closure -- one way or another -- to the suffering the old man seems to have brought to everyone he has ever known. But, would mercy soften his grandfather's heart?",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BM2E2ZDE4OTItOGFlMi00YmJjLWIwYjMtODAwMDdhZWQ5NGFlXkEyXkFqcGc@._V1_SX300.jpg,45,6.0,"16,289",tt0115862,movie,N/A,"$14,551,359",N/A,N/A
1007,The Apple Dumpling Gang,1975,G,01 Jul 1975,100 min,"Comedy, Family, Western",Norman Tokar,"Don Tait, Jack M. Bickham","Bill Bixby, Susan Clark, Don Knotts","Three orphaned siblings are forced upon confirmed bachelor Donovan (Bill Bixby) in a nineteenth century boom town of Quake City, California. After an earthquake shakes the area, the children find a large gold nugget worth tens of thousands of dollars. But their newfound wealth is causing more problems than it's solving, so they agree to ""give"" the gold to two bumbling outlaws (Tim Conway and Don Knott's). But they only way they can get the gold is to steal it from the bank vault where it's being held for safe keeping.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTc5NDk1NDgtMThmYy00MWViLTk2ZjUtNTQyMDI1MDI0MDRjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,59,6.4,"6,672",tt0072653,movie,N/A,"$36,853,000",N/A,N/A
1008,Davy Crockett: King of the Wild Frontier,1955,Approved,25 May 1955,93 min,"Adventure, Drama, Family",Norman Foster,Thomas W. Blackburn,"Fess Parker, Buddy Ebsen, Basil Ruysdael","Legends (and myths) from the life of famed American frontiersman Davy Crockett are depicted in this feature film edited from television episodes. Crockett and his friend George Russell fight in the Creek Indian War. Then Crockett is elected to Congress and brings his rough-hewn ways to the House of Representatives. Finally, Crockett and Russell journey to Texas and partake in the last stand at the Alamo.","English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BZWY3MGVmM2YtYzkzYy00MjNmLTljMDctNDc5ZWUyNTM2OWU0XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,N/A,6.9,"5,015",tt0047977,movie,N/A,"$2,150,000",N/A,N/A
1009,Escape to Witch Mountain,1975,G,21 Mar 1975,97 min,"Adventure, Family, Fantasy",John Hough,"Robert Malcolm Young, Alexander Key","Eddie Albert, Ray Milland, Donald Pleasence","Tia and Tony are two orphaned youngsters with extraordinary powers. Lucas Deranian poses as their uncle in order to get the kids into the clutches of Deranian's megalomanical boss, evil millionaire Aristotle Bolt, who wants to exploit them. Jason, a cynical widower, helps Tia and Tony ""escape to witch mountain,"" while at the same time Tia and Tony help Jason escape the pain of the loss of his wife.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDcwNjE2ZjgtN2U1YS00ZTNjLWI0Y2YtZDBlOTVkYzc3Y2E4XkEyXkFqcGc@._V1_SX300.jpg,60,6.3,"11,582",tt0072951,movie,N/A,"$20,000,000",N/A,N/A
